,track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
35050,Red,Taylor Swift,6,53,22,51,False,2013-12-14 00:00:00,hot-100
28,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,30,6,29,False,2020-08-22 00:00:00,hot-100
62594,Girls Around The World,Lloyd Featuring Lil Wayne,64,86,14,95,False,2008-09-06 00:00:00,hot-100
51393,Le Jazz Hot,Glee Cast,94,0,1,94,True,2010-10-30 00:00:00,hot-100
62799,Learning How To Bend,Gary Allan,96,98,4,100,False,2008-08-23 00:00:00,hot-100
57770,Kiss A Girl,Keith Urban,16,77,20,71,False,2009-08-08 00:00:00,hot-100
52889,Wrong Baby Wrong,Martina McBride,74,80,15,90,False,2010-07-17 00:00:00,hot-100
68,Bang!,AJR,69,78,6,69,False,2020-08-22 00:00:00,hot-100
2092,Yessirskiii,Lil Uzi Vert & 21 Savage,26,26,2,93,False,2020-04-04 00:00:00,hot-100
494,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,36,88,18,95,False,2020-07-25 00:00:00,hot-100
28650,Wonderland,Taylor Swift,51,0,1,51,True,2015-03-07 00:00:00,hot-100
29161,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43,58,20,62,False,2015-01-31 00:00:00,hot-100
18595,Song For Another Time,Old Dominion,59,83,18,96,False,2017-02-11 00:00:00,hot-100
23383,Hollow,Tori Kelly,68,68,11,84,False,2016-03-12 00:00:00,hot-100
24795,Temporary Fix,One Direction,96,0,1,96,True,2015-12-05 00:00:00,hot-100
30047,Leave The Night On,Sam Hunt,30,38,21,48,False,2014-11-29 00:00:00,hot-100
7664,How Did I Get Here,Offset Featuring  J. Cole,65,0,1,65,True,2019-03-09 00:00:00,hot-100
22369,Pray You Catch Me,Beyonce,37,37,2,70,False,2016-05-21 00:00:00,hot-100
21590,Grammys,Drake Featuring Future,38,93,9,91,False,2016-07-16 00:00:00,hot-100
36752,Hey Pretty Girl,Kip Moore,41,42,20,53,False,2013-08-17 00:00:00,hot-100
27797,Trouble,Iggy Azalea Featuring Jennifer Hudson,67,83,5,98,False,2015-05-09 00:00:00,hot-100
22084,Fire & Desire,Drake,75,75,4,85,False,2016-06-11 00:00:00,hot-100
4079,Cash Shit,Megan Thee Stallion Featuring DaBaby,36,80,20,80,False,2019-11-16 00:00:00,hot-100
43043,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,7,41,32,44,False,2012-06-02 00:00:00,hot-100
16896,Either Way,Chris Stapleton,89,0,2,97,False,2017-06-10 00:00:00,hot-100
12673,Midnight,Logic,74,0,1,74,True,2018-03-24 00:00:00,hot-100
6794,Numb Numb Juice,ScHoolboy Q,55,0,2,95,False,2019-05-11 00:00:00,hot-100
72588,Ghetto Story Chapter 2,Cham Featuring Alicia Keys,77,90,7,89,False,2006-10-07 00:00:00,hot-100
74796,Always On Your Side,Sheryl Crow & Sting,33,81,8,97,False,2006-05-06 00:00:00,hot-100
2572,Thug Love,A Boogie Wit da Hoodie,73,0,1,73,True,2020-02-29 00:00:00,hot-100
12090,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,83,14,91,False,2018-05-05 00:00:00,hot-100
72680,A Public Affair,Jessica Simpson,14,55,12,81,False,2006-09-30 00:00:00,hot-100
3898,Hell Right,Blake Shelton Featuring Trace Adkins,99,0,1,99,True,2019-11-30 00:00:00,hot-100
36349,Crash My Party,Luke Bryan,18,38,21,50,False,2013-09-14 00:00:00,hot-100
30268,Welcome To New York,Taylor Swift,48,48,2,69,False,2014-11-15 00:00:00,hot-100
697,X,Jonas Brothers Featuring Karol G,33,85,7,98,False,2020-07-11 00:00:00,hot-100
4696,Shameless,Camila Cabello,60,95,3,97,False,2019-10-05 00:00:00,hot-100
4189,INTRO,DaBaby,13,67,6,90,False,2019-11-09 00:00:00,hot-100
5061,London Boy,Taylor Swift,62,0,1,62,True,2019-09-07 00:00:00,hot-100
14280,Relationship,Young Thug Featuring Future,65,86,14,81,False,2017-12-09 00:00:00,hot-100
11599,The Games We Play,Pusha T,100,0,1,100,True,2018-06-09 00:00:00,hot-100
2781,Good News,Mac Miller,17,54,4,82,False,2020-02-15 00:00:00,hot-100
73396,Original Fire,Audioslave,79,79,2,97,False,2006-08-12 00:00:00,hot-100
9680,My Blood,twenty one pilots,81,0,1,81,True,2018-10-20 00:00:00,hot-100
9735,Famous,Lil Wayne Featuring Reginae Carter,36,0,1,36,True,2018-10-13 00:00:00,hot-100
63876,The Music Of The Night,David Cook,77,0,1,77,True,2008-06-07 00:00:00,hot-100
63482,There's Nothin,Sean Kingston Featuring Elan & Juelz Santana,60,74,8,83,False,2008-07-05 00:00:00,hot-100
18270,Helium,Sia,71,0,1,71,True,2017-03-04 00:00:00,hot-100
35257,Everything Has Changed,Taylor Swift Featuring Ed Sheeran,32,55,20,58,False,2013-11-30 00:00:00,hot-100
13049,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,47,26,50,False,2018-02-24 00:00:00,hot-100
26499,Dance Like We're Making Love,Ciara,100,0,1,100,True,2015-08-08 00:00:00,hot-100
54,Bluebird,Miranda Lambert,26,40,19,55,False,2020-08-22 00:00:00,hot-100
6644,You Say,Lauren Daigle,29,43,43,45,False,2019-05-18 00:00:00,hot-100
63363,The Boss,Rick Ross Featuring T-Pain,17,57,20,64,False,2008-07-12 00:00:00,hot-100
8876,Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",77,0,1,77,True,2018-12-15 00:00:00,hot-100
25192,Live From The Gutter,Drake & Future,74,93,5,93,False,2015-11-07 00:00:00,hot-100
33484,Love Me Again,John Newman,30,66,18,85,False,2014-04-05 00:00:00,hot-100
23298,Walking On A Dream,Empire Of The Sun,65,90,5,99,False,2016-03-19 00:00:00,hot-100
8790,TIC TOC,6ix9ine Featuring Lil Baby,53,53,3,91,False,2018-12-22 00:00:00,hot-100
45754,Smile Back,Mac Miller,55,0,1,55,True,2011-11-26 00:00:00,hot-100
71788,When Your Heart Stops Beating,(+44),89,0,1,89,True,2006-12-02 00:00:00,hot-100
53347,Carry Out,Timbaland Featuring Justin Timberlake,11,37,26,48,False,2010-06-12 00:00:00,hot-100
30095,Made Me,Snootie Wild Featuring K Camp,93,93,3,96,False,2014-11-29 00:00:00,hot-100
62687,BB Good,Jonas Brothers,88,0,1,88,True,2008-08-30 00:00:00,hot-100
33848,Whatever She's Got,David Nail,35,45,21,49,False,2014-03-08 00:00:00,hot-100
60591,Right Here (Departed),Brandy,34,81,18,92,False,2009-01-24 00:00:00,hot-100
4776,All To Myself,Dan + Shay,31,67,20,77,False,2019-09-28 00:00:00,hot-100
53983,Fearless,Taylor Swift,9,78,15,84,False,2010-05-01 00:00:00,hot-100
17974,Supermarket Flowers,Ed Sheeran,75,0,1,75,True,2017-03-25 00:00:00,hot-100
2697,Jerry Sprunger,Tory Lanez & T-Pain,44,92,10,98,False,2020-02-22 00:00:00,hot-100
18696,Beibs In The Trap,Travis Scott,90,90,3,97,False,2017-02-04 00:00:00,hot-100
38579,The Phoenix,Fall Out Boy,80,0,1,80,True,2013-04-13 00:00:00,hot-100
36188,Wop,J. Dash,51,93,15,89,False,2013-09-28 00:00:00,hot-100
14372,Call It What You Want,Taylor Swift,27,27,2,73,False,2017-12-02 00:00:00,hot-100
30244,Latch,Disclosure Featuring Sam Smith,7,43,33,45,False,2014-11-15 00:00:00,hot-100
25793,One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,82,82,10,94,False,2015-09-26 00:00:00,hot-100
1270,Hitek Tek,Future,71,0,1,71,True,2020-05-30 00:00:00,hot-100
61474,Bartender Song,Rehab,64,72,20,75,False,2008-11-22 00:00:00,hot-100
44089,The Trouble With Girls,Scotty McCreery,55,81,18,90,False,2012-03-24 00:00:00,hot-100
2171,Leaders,Lil Uzi Vert Featuring NAV,72,0,1,72,True,2020-03-28 00:00:00,hot-100
53541,Naturally,Selena Gomez & The Scene,29,40,21,42,False,2010-05-29 00:00:00,hot-100
21890,Feel No Ways,Drake,53,80,6,91,False,2016-06-25 00:00:00,hot-100
25148,Flex (Ooh Ooh Ooh),Rich Homie Quan,26,44,27,49,False,2015-11-07 00:00:00,hot-100
5257,Talk You Out Of It,Florida Georgia Line,57,57,26,58,False,2019-08-24 00:00:00,hot-100
11883,Barbie Tingz,Nicki Minaj,25,0,4,84,False,2018-05-19 00:00:00,hot-100
21795,Might Not,Belly Featuring The Weeknd,68,84,17,96,False,2016-07-02 00:00:00,hot-100
61371,The Way I Loved You,Taylor Swift,72,0,1,72,True,2008-11-29 00:00:00,hot-100
61781,Johnny & June,Heidi Newfield,58,62,15,82,False,2008-11-01 00:00:00,hot-100
71583,Ser O Parecer,RBD,84,0,1,84,True,2006-12-16 00:00:00,hot-100
2792,Get Me,Justin Bieber Featuring Kehlani,93,0,1,93,True,2020-02-15 00:00:00,hot-100
49646,When I Get You Alone,Glee Cast,47,0,1,47,True,2011-02-26 00:00:00,hot-100
55091,My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder,92,0,1,92,True,2010-02-13 00:00:00,hot-100
51993,Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson,89,92,3,94,False,2010-09-18 00:00:00,hot-100
15659,Craving You,Thomas Rhett Featuring Maren Morris,39,63,20,60,False,2017-09-02 00:00:00,hot-100
63181,Trying To Stop Your Leaving,Dierks Bentley,73,73,15,82,False,2008-07-26 00:00:00,hot-100
2890,Darkness,Eminem,28,28,2,91,False,2020-02-08 00:00:00,hot-100
21599,Dark Necessities,Red Hot Chili Peppers,67,67,2,100,False,2016-07-16 00:00:00,hot-100
73741,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,7,33,24,42,False,2006-07-15 00:00:00,hot-100
12084,The Long Way,Brett Eldredge,65,65,12,85,False,2018-05-05 00:00:00,hot-100
25295,Change Locations,Drake & Future,82,86,3,96,False,2015-10-31 00:00:00,hot-100
4091,Selah,Kanye West,19,19,2,92,False,2019-11-16 00:00:00,hot-100
3348,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,49,0,1,49,True,2020-01-04 00:00:00,hot-100
11497,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,90,19,98,False,2018-06-16 00:00:00,hot-100
62599,Teenage Love Affair,Alicia Keys,54,97,16,100,False,2008-09-06 00:00:00,hot-100
1548,Goosebumps,Travis Scott,32,0,35,49,False,2020-05-09 00:00:00,hot-100
54097,4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,90,0,3,98,False,2010-04-24 00:00:00,hot-100
4144,Every Hour,Kanye West Featuring Sunday Service Choir,45,0,1,45,True,2019-11-09 00:00:00,hot-100
15598,Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",87,0,3,99,False,2017-09-09 00:00:00,hot-100
1065,TKN,ROSALIA & Travis Scott,66,0,1,66,True,2020-06-13 00:00:00,hot-100
49796,Fire Flame,Birdman Featuring Lil Wayne,64,94,10,97,False,2011-02-19 00:00:00,hot-100
19993,I Met A Girl,William Michael Morgan,60,78,9,94,False,2016-11-05 00:00:00,hot-100
25294,Fly,Maddie & Tae,61,70,14,95,False,2015-10-31 00:00:00,hot-100
53797,Love King,The-Dream,92,98,3,98,False,2010-05-15 00:00:00,hot-100
58177,I'm On A Boat,The Lonely Island Featuring T-Pain,56,64,20,78,False,2009-07-11 00:00:00,hot-100
55060,Cowboy Casanova,Carrie Underwood,11,55,20,61,False,2010-02-13 00:00:00,hot-100
38688,Who Booty,Jonn Hart Featuring IamSU!,66,85,15,89,False,2013-04-06 00:00:00,hot-100
31299,Dare (La La La),Shakira,53,0,11,100,False,2014-09-06 00:00:00,hot-100
28548,Glory,Common & John Legend,49,99,3,49,False,2015-03-14 00:00:00,hot-100
50940,One Love (People Get Ready),Glee Cast,41,0,1,41,True,2010-11-27 00:00:00,hot-100
7299,Love Wins,Carrie Underwood,83,100,10,100,False,2019-04-06 00:00:00,hot-100
5154,What's The Move,Young Thug Featuring Lil Uzi Vert,55,0,1,55,True,2019-08-31 00:00:00,hot-100
26341,Girl Crush,Little Big Town,18,36,24,42,False,2015-08-15 00:00:00,hot-100
58163,If U Seek Amy,Britney Spears,19,56,20,64,False,2009-07-11 00:00:00,hot-100
59859,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,22,53,20,60,False,2009-03-14 00:00:00,hot-100
11175,Fake Love,BTS,10,65,6,76,False,2018-07-07 00:00:00,hot-100
71695,Greatest Time Of Year,Aly & AJ,96,0,1,96,True,2006-12-09 00:00:00,hot-100
20690,Record Year,Eric Church,44,74,20,91,False,2016-09-17 00:00:00,hot-100
10455,Rich Sex,Nicki Minaj Featuring Lil Wayne,56,0,2,56,False,2018-08-25 00:00:00,hot-100
59846,Hold Up My Heart,Brooke White,47,0,1,47,True,2009-03-14 00:00:00,hot-100
57493,I Do Not Hook Up,Kelly Clarkson,20,82,18,94,False,2009-08-29 00:00:00,hot-100
11395,Drip,Cardi B Featuring Migos,21,84,10,96,False,2018-06-23 00:00:00,hot-100
18280,Way Down We Go,KALEO,54,71,8,81,False,2017-03-04 00:00:00,hot-100
11255,IDGAF,Dua Lipa,49,51,23,56,False,2018-06-30 00:00:00,hot-100
47176,Under And Over It,Five Finger Death Punch,77,0,1,77,True,2011-08-20 00:00:00,hot-100
35982,Young And Beautiful,Lana Del Rey,22,79,21,83,False,2013-10-12 00:00:00,hot-100
46068,Remind Me,Brad Paisley Duet With Carrie Underwood,17,63,20,69,False,2011-11-05 00:00:00,hot-100
50092,The Breath You Take,George Strait,63,74,20,93,False,2011-01-29 00:00:00,hot-100
23944,Under Pressure,Queen & David Bowie,29,0,16,45,False,2016-01-30 00:00:00,hot-100
70349,Suddenly I See,KT Tunstall,21,47,30,50,False,2007-03-10 00:00:00,hot-100
50678,Boots,The Killers,79,0,1,79,True,2010-12-18 00:00:00,hot-100
16797,No Longer Friends,Bryson Tiller,98,0,1,98,True,2017-06-17 00:00:00,hot-100
76388,Comin' To Your City,Big & Rich,72,0,6,89,False,2006-01-14 00:00:00,hot-100
70988,Love Like Winter,AFI,68,76,5,89,False,2007-01-27 00:00:00,hot-100
65194,Shake Your Pom Pom,Missy Elliott,95,0,1,95,True,2008-03-08 00:00:00,hot-100
4983,Shots,Lil Tecca,84,0,1,84,True,2019-09-14 00:00:00,hot-100
44487,Strange Clouds,B.o.B Featuring Lil Wayne,7,74,20,88,False,2012-02-25 00:00:00,hot-100
32098,Wild Wild Love,Pitbull Featuring G.R.L.,30,93,18,99,False,2014-07-12 00:00:00,hot-100
64479,Many Rivers To Cross,Annie Lennox,80,0,1,80,True,2008-04-26 00:00:00,hot-100
11260,Pray For Me,The Weeknd & Kendrick Lamar,7,44,20,61,False,2018-06-30 00:00:00,hot-100
39897,Rock Me,One Direction,98,0,1,98,True,2013-01-12 00:00:00,hot-100
66054,The Pretender,Foo Fighters,37,60,20,55,False,2008-01-05 00:00:00,hot-100
47767,Dog Days Are Over,Vicci Martinez,68,0,1,68,True,2011-07-09 00:00:00,hot-100
64536,Nude,Radiohead,37,0,1,37,True,2008-04-19 00:00:00,hot-100
75971,When There Was Me And You,Vanessa Anne Hudgens,72,0,1,72,True,2006-02-11 00:00:00,hot-100
4542,iPHONE,DaBaby & Nicki Minaj,43,0,1,43,True,2019-10-12 00:00:00,hot-100
55273,Do I,Luke Bryan,34,69,20,74,False,2010-01-30 00:00:00,hot-100
60791,See You In My Nightmares,Kanye West Featuring Lil Wayne,21,0,4,92,False,2009-01-10 00:00:00,hot-100
61787,Cry For You,September,74,79,10,88,False,2008-11-01 00:00:00,hot-100
75249,Feel Good Inc,Gorillaz,14,43,45,50,False,2006-04-01 00:00:00,hot-100
1661,BEST ON EARTH,Russ & BIA,46,52,20,62,False,2020-05-02 00:00:00,hot-100
65199,Rock Star,Hannah Montana,81,93,4,100,False,2008-03-08 00:00:00,hot-100
70790,Take Me As I Am,Mary J. Blige,58,91,17,91,False,2007-02-10 00:00:00,hot-100
5394,Days In The East,Drake,95,0,1,95,True,2019-08-17 00:00:00,hot-100
51891,Introducing Me,Nick Jonas,92,0,1,92,True,2010-09-25 00:00:00,hot-100
17166,First Time,Kygo & Ellie Goulding,67,0,1,67,True,2017-05-20 00:00:00,hot-100
15547,Castle On The Hill,Ed Sheeran,6,39,33,48,False,2017-09-09 00:00:00,hot-100
17546,Water Under The Bridge,Adele,26,46,22,47,False,2017-04-22 00:00:00,hot-100
31794,You & I (Nobody In The World),John Legend,66,66,2,95,False,2014-08-02 00:00:00,hot-100
62689,Last Name,Carrie Underwood,19,82,20,90,False,2008-08-30 00:00:00,hot-100
30442,2 On,Tinashe Featuring ScHoolboy Q,24,36,24,43,False,2014-11-01 00:00:00,hot-100
10648,One Number Away,Luke Combs,34,48,20,49,False,2018-08-11 00:00:00,hot-100
72795,Entourage,Omarion,78,79,5,96,False,2006-09-23 00:00:00,hot-100
57296,Radar,Britney Spears,88,88,3,97,False,2009-09-12 00:00:00,hot-100
35817,Gone,Kanye West Featuring Cam'ron & Consequence,18,0,1,18,True,2013-10-19 00:00:00,hot-100
47865,Today Is Your Day,Shania Twain,66,0,1,66,True,2011-07-02 00:00:00,hot-100
22363,All Night,Beyonce,38,38,2,64,False,2016-05-21 00:00:00,hot-100
73959,For You I Will (Confidence),Teddy Geiger,29,55,20,60,False,2006-07-01 00:00:00,hot-100
44898,Crawling Back To You,Daughtry,41,0,10,99,False,2012-01-28 00:00:00,hot-100
75694,Start Of Something New,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",28,92,4,95,False,2006-03-04 00:00:00,hot-100
7661,I'll Never Love Again,Lady Gaga,36,0,7,62,False,2019-03-09 00:00:00,hot-100
72998,Hustlin',Rick Ross,54,76,17,99,False,2006-09-09 00:00:00,hot-100
73588,The Adventure,Angels & Airwaves,55,83,14,89,False,2006-07-29 00:00:00,hot-100
42176,Go Get It,T.I.,77,0,1,77,True,2012-08-04 00:00:00,hot-100
24898,Levels,Nick Jonas,44,84,12,99,False,2015-11-28 00:00:00,hot-100
36454,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,20,53,20,55,False,2013-09-07 00:00:00,hot-100
41198,For You,Keith Urban,55,85,18,99,False,2012-10-13 00:00:00,hot-100
55771,This Is War,Thirty Seconds To Mars,72,0,1,72,True,2009-12-26 00:00:00,hot-100
56746,Waking Up In Vegas,Katy Perry,9,40,23,47,False,2009-10-17 00:00:00,hot-100
75869,Goodbye For Now,P.O.D.,48,48,2,70,False,2006-02-18 00:00:00,hot-100
31448,Ain't It Fun,Paramore,10,41,24,49,False,2014-08-23 00:00:00,hot-100
45187,Knock Knock,Mac Miller,88,0,1,88,True,2012-01-07 00:00:00,hot-100
66181,Bleed It Out,Linkin Park,52,82,20,82,False,2007-12-29 00:00:00,hot-100
31784,Trophies,Young Money Featuring Drake,50,82,20,85,False,2014-08-02 00:00:00,hot-100
3690,Follow God,Kanye West,7,79,6,91,False,2019-12-14 00:00:00,hot-100
29196,No Love,August Alsina,69,91,18,97,False,2015-01-31 00:00:00,hot-100
27097,L$D,A$AP Rocky,62,84,3,98,False,2015-06-27 00:00:00,hot-100
4649,Knockin' Boots,Luke Bryan,31,41,22,50,False,2019-10-05 00:00:00,hot-100
69180,Anyway,Martina McBride,32,78,16,81,False,2007-06-02 00:00:00,hot-100
18685,Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,86,88,4,86,False,2017-02-04 00:00:00,hot-100
17268,Feel.,Kendrick Lamar,35,35,2,69,False,2017-05-13 00:00:00,hot-100
1185,Gimmick,Gunna,86,0,1,86,True,2020-06-06 00:00:00,hot-100
12687,Boom!,Lil Yachty Featuring Ugly God,88,0,1,88,True,2018-03-24 00:00:00,hot-100
35775,Sirens,Pearl Jam,76,0,1,76,True,2013-10-26 00:00:00,hot-100
11892,Blame It On Me,Post Malone,47,47,2,93,False,2018-05-19 00:00:00,hot-100
74890,She Don't Tell Me To,Montgomery Gentry,62,76,16,91,False,2006-04-29 00:00:00,hot-100
5499,Nightmare,Halsey,15,81,11,100,False,2019-08-10 00:00:00,hot-100
34095,Sweet Annie,Zac Brown Band,47,87,17,96,False,2014-02-22 00:00:00,hot-100
25166,Lose My Mind,Brett Eldredge,48,57,20,67,False,2015-11-07 00:00:00,hot-100
51564,I Am Not A Human Being,Lil Wayne,65,0,1,65,True,2010-10-16 00:00:00,hot-100
60996,Love Remembers,Craig Morgan,73,81,9,97,False,2008-12-27 00:00:00,hot-100
52371,The House That Built Me,Miranda Lambert,28,66,20,72,False,2010-08-21 00:00:00,hot-100
