,track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
44586,Tattoos On This Town,Jason Aldean,38,72,20,87,False,2012-02-18 00:00:00,hot-100
24490,Already Callin' You Mine,Parmalee,91,100,3,91,False,2015-12-26 00:00:00,hot-100
9392,New Patek,Lil Uzi Vert,24,90,7,93,False,2018-11-10 00:00:00,hot-100
63650,Feels Like Tonight,Daughtry,24,46,20,51,False,2008-06-21 00:00:00,hot-100
6197,XanaX Damage,Future,98,0,1,98,True,2019-06-22 00:00:00,hot-100
9723,What About Me,Lil Wayne Featuring Sosamann,24,0,1,24,True,2018-10-13 00:00:00,hot-100
16784,Self-Made,Bryson Tiller,85,0,1,85,True,2017-06-17 00:00:00,hot-100
13966,Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,67,0,1,67,True,2017-12-30 00:00:00,hot-100
6464,Running Out Of Time,"Tyler, The Creator",65,0,1,65,True,2019-06-01 00:00:00,hot-100
11575,Youth,Shawn Mendes Featuring Khalid,65,0,2,76,False,2018-06-09 00:00:00,hot-100
45384,Sparks Fly,Taylor Swift,17,65,20,85,False,2011-12-24 00:00:00,hot-100
42047,Springsteen,Eric Church,19,45,22,48,False,2012-08-11 00:00:00,hot-100
18289,Wanna Be That Song,Brett Eldredge,46,88,20,90,False,2017-03-04 00:00:00,hot-100
4297,DHL,Frank Ocean,98,0,1,98,True,2019-11-02 00:00:00,hot-100
569,P*$$y Fairy (OTW),Jhene Aiko,40,59,25,70,False,2020-07-18 00:00:00,hot-100
44343,I Like It Like That,Hot Chelle Rae Featuring New Boyz,28,38,20,44,False,2012-03-03 00:00:00,hot-100
2749,Only The Young,Taylor Swift,50,0,1,50,True,2020-02-15 00:00:00,hot-100
72047,U And Dat,E-40 Featuring T-Pain & Kandi Girl,13,42,25,48,False,2006-11-11 00:00:00,hot-100
22491,Acquainted,The Weeknd,60,75,18,92,False,2016-05-14 00:00:00,hot-100
